"key","number","candidateScore","partyC","partyName"
"BKK_10_5","5",385,707,"ชาติไทยพัฒนา"
"BKK_10_9","9",329,721,"เพื่อชาติ"
"BKK_10_11","11",316,709,"ภูมิใจไทย"
"BKK_10_12","12",111,738,"เพื่อชาติไทย"
"BKK_10_15","15",109,769,"ไทยภักดี"
"BKK_10_13","13",85,727,"ทางเลือกใหม่"
"BKK_10_14","14",79,702,"ประชากรไทย"
"BKK_10_16","16",0,742,"คลองไทย"
"BKK_11_3","3",36985,726,"ก้าวไกล"
"BKK_11_9","9",22242,762,"ไทยสร้างไทย"
"BKK_11_6","6",14645,709,"ภูมิใจไทย"
"BKK_11_1","1",14325,705,"เพื่อไทย"
"BKK_11_5","5",7658,763,"รวมไทยสร้างชาติ"
"BKK_11_4","4",879,701,"ประชาธิปัตย์"
"BKK_11_7","7",827,743,"พลังประชารัฐ"
"BKK_11_8","8",436,719,"เสรีรวมไทย"
"BKK_11_10","10",402,706,"ชาติพัฒนากล้า"
"BKK_11_11","11",263,729,"เส้นด้าย"
"BKK_11_13","13",194,769,"ไทยภักดี"
"BKK_11_2","2",181,708,"อนาคตไทย"
"BKK_11_12","12",79,727,"ทางเลือกใหม่"
"BKK_12_5","5",45797,726,"ก้าวไกล"
"BKK_12_10","10",18633,705,"เพื่อไทย"
"BKK_12_11","11",13608,763,"รวมไทยสร้างชาติ"
"BKK_12_9","9",12405,701,"ประชาธิปัตย์"
"BKK_12_12","12",5245,743,"พลังประชารัฐ"
"BKK_12_3","3",1426,762,"ไทยสร้างไทย"
"BKK_12_14","14",1077,706,"ชาติพัฒนากล้า"
"BKK_12_1","1",989,719,"เสรีรวมไทย"
"BKK_12_2","2",922,709,"ภูมิใจไทย"
"BKK_12_7","7",447,721,"เพื่อชาติ"
"BKK_12_8","8",438,707,"ชาติไทยพัฒนา"
"BKK_12_6","6",309,768,"เสมอภาค"
"BKK_12_15","15",266,769,"ไทยภักดี"
"BKK_12_4","4",232,708,"อนาคตไทย"
"BKK_12_13","13",123,727,"ทางเลือกใหม่"
"BKK_12_16","16",58,742,"คลองไทย"
"BKK_13_7","7",43186,726,"ก้าวไกล"
"BKK_13_4","4",22312,705,"เพื่อไทย"
"BKK_13_5","5",17591,763,"รวมไทยสร้างชาติ"
"BKK_13_10","10",5380,701,"ประชาธิปัตย์"
"BKK_13_1","1",2378,709,"ภูมิใจไทย"
"BKK_13_12","12",1379,762,"ไทยสร้างไทย"
"BKK_13_3","3",1361,706,"ชาติพัฒนากล้า"
"BKK_13_8","8",661,743,"พลังประชารัฐ"
"BKK_13_13","13",517,719,"เสรีรวมไทย"
"BKK_13_6","6",345,742,"คลองไทย"
"BKK_13_14","14",296,769,"ไทยภักดี"
"BKK_13_11","11",254,770,"แนวทางใหม่"
"BKK_13_9","9",222,721,"เพื่อชาติ"
"BKK_13_15","15",188,729,"เส้นด้าย"
"BKK_13_2","2",179,733,"ไทยศรีวิไลย์"
"BKK_13_16","16",0,749,"ประชาไทย"
"BKK_14_9","9",42187,726,"ก้าวไกล"
"BKK_14_11","11",29075,763,"รวมไทยสร้างชาติ"
"BKK_14_6","6",17512,705,"เพื่อไทย"
"BKK_14_12","12",1884,762,"ไทยสร้างไทย"
"BKK_14_1","1",1811,701,"ประชาธิปัตย์"
"BKK_14_8","8",1494,706,"ชาติพัฒนากล้า"
"BKK_14_5","5",1362,743,"พลังประชารัฐ"
"BKK_14_7","7",1102,709,"ภูมิใจไทย"
"BKK_14_10","10",547,719,"เสรีรวมไทย"
"BKK_14_4","4",320,769,"ไทยภักดี"
"BKK_14_14","14",193,727,"ทางเลือกใหม่"
"BKK_14_13","13",112,702,"ประชากรไทย"
"BKK_14_2","2",109,721,"เพื่อชาติ"
"BKK_14_3","3",95,742,"คลองไทย"
"BKK_14_15","15",0,777,"เปลี่ยนอนาคต"
"BKK_15_6","6",35904,726,"ก้าวไกล"
"BKK_15_7","7",28121,705,"เพื่อไทย"
"BKK_15_11","11",15111,763,"รวมไทยสร้างชาติ"
"BKK_15_3","3",6613,762,"ไทยสร้างไทย"
"BKK_15_1","1",2311,701,"ประชาธิปัตย์"
"BKK_15_5","5",919,706,"ชาติพัฒนากล้า"
"BKK_15_9","9",891,709,"ภูมิใจไทย"
"BKK_15_2","2",687,719,"เสรีรวมไทย"
"BKK_15_8","8",646,743,"พลังประชารัฐ"
"BKK_15_4","4",302,729,"เส้นด้าย"
"BKK_15_14","14",193,769,"ไทยภักดี"
"BKK_15_13","13",130,727,"ทางเลือกใหม่"
"BKK_15_12","12",106,742,"คลองไทย"
"BKK_15_10","10",85,770,"แนวทางใหม่"
"BKK_15_15","15",80,765,"ไทยสมาร์ท"
"BKK_15_16","16",72,749,"ประชาไทย"
"BKK_16_8","8",40129,726,"ก้าวไกล"
"BKK_16_11","11",27111,705,"เพื่อไทย"
"BKK_16_14","14",12784,701,"ประชาธิปัตย์"
"BKK_16_6","6",12357,763,"รวมไทยสร้างชาติ"
"BKK_16_5","5",924,762,"ไทยสร้างไทย"
"BKK_16_15","15",880,706,"ชาติพัฒนากล้า"
"BKK_16_4","4",603,709,"ภูมิใจไทย"
"BKK_16_1","1",584,719,"เสรีรวมไทย"
"BKK_16_12","12",560,743,"พลังประชารัฐ"
"BKK_16_9","9",457,738,"เพื่อชาติไทย"
"BKK_16_7","7",444,770,"แนวทางใหม่"
"BKK_16_2","2",413,769,"ไทยภักดี"
"BKK_16_16","16",273,727,"ทางเลือกใหม่"
"BKK_16_3","3",118,732,"ไทยธรรม"
"BKK_16_10","10",115,774,"ราษฎร์วิถี"
"BKK_16_13","13",0,742,"คลองไทย"
"BKK_17_7","7",30439,726,"ก้าวไกล"
"BKK_17_13","13",19155,705,"เพื่อไทย"
"BKK_17_10","10",18034,743,"พลังประชารัฐ"
"BKK_17_11","11",6340,763,"รวมไทยสร้างชาติ"
"BKK_17_5","5",2930,707,"ชาติไทยพัฒนา"
"BKK_17_2","2",1051,701,"ประชาธิปัตย์"
"BKK_17_1","1",627,769,"ไทยภักดี"
"BKK_17_8","8",549,709,"ภูมิใจไทย"
"BKK_17_3","3",509,719,"เสรีรวมไทย"
"BKK_17_14","14",486,706,"ชาติพัฒนากล้า"
"BKK_17_12","12",398,762,"ไทยสร้างไทย"
"BKK_17_15","15",376,729,"เส้นด้าย"
"BKK_17_17","17",326,723,"ภราดรภาพ"
"BKK_17_9","9",312,727,"ทางเลือกใหม่"
"BKK_17_4","4",209,742,"คลองไทย"
"BKK_17_18","18",87,702,"ประชากรไทย"
"BKK_17_16","16",70,738,"เพื่อชาติไทย"
"BKK_17_6","6",0,770,"แนวทางใหม่"
"BKK_18_8","8",34461,726,"ก้าวไกล"
"BKK_18_15","15",16394,705,"เพื่อไทย"
"BKK_18_4","4",13618,743,"พลังประชารัฐ"
"BKK_18_1","1",8056,763,"รวมไทยสร้างชาติ"
"BKK_18_9","9",1720,701,"ประชาธิปัตย์"
"BKK_18_7","7",857,709,"ภูมิใจไทย"
"BKK_18_13","13",824,769,"ไทยภักดี"
"BKK_18_2","2",659,706,"ชาติพัฒนากล้า"
"BKK_18_14","14",553,719,"เสรีรวมไทย"
"BKK_18_16","16",436,742,"คลองไทย"
"BKK_18_10","10",378,721,"เพื่อชาติ"
"BKK_18_12","12",369,762,"ไทยสร้างไทย"
"BKK_18_6","6",354,727,"ทางเลือกใหม่"
"BKK_18_3","3",252,707,"ชาติไทยพัฒนา"
"BKK_18_11","11",237,770,"แนวทางใหม่"
"BKK_18_5","5",0,729,"เส้นด้าย"
"BKK_19_5","5",41841,726,"ก้าวไกล"
"BKK_19_9","9",26670,705,"เพื่อไทย"
"BKK_19_2","2",17176,763,"รวมไทยสร้างชาติ"
"BKK_19_10","10",3411,743,"พลังประชารัฐ"
"BKK_19_3","3",2144,701,"ประชาธิปัตย์"
"BKK_19_6","6",875,709,"ภูมิใจไทย"
"BKK_19_15","15",752,706,"ชาติพัฒนากล้า"
"BKK_19_7","7",735,769,"ไทยภักดี"
"BKK_19_4","4",734,719,"เสรีรวมไทย"
"BKK_19_13","13",714,762,"ไทยสร้างไทย"
"BKK_19_8","8",356,747,"เป็นธรรม"
"BKK_19_1","1",288,727,"ทางเลือกใหม่"
"BKK_19_14","14",250,774,"ราษฎร์วิถี"
"BKK_19_11","11",218,738,"เพื่อชาติไทย"
"BKK_19_12","12",187,770,"แนวทางใหม่"
"BKK_19_17","17",118,729,"เส้นด้าย"
"BKK_19_16","16",66,742,"คลองไทย"
"BKK_2_13","13",41148,726,"ก้าวไกล"
"BKK_2_10","10",17908,763,"รวมไทยสร้างชาติ"
"BKK_2_5","5",12235,705,"เพื่อไทย"
"BKK_2_1","1",7392,701,"ประชาธิปัตย์"
"BKK_2_12","12",5237,709,"ภูมิใจไทย"
"BKK_2_11","11",2631,743,"พลังประชารัฐ"
"BKK_2_3","3",1567,706,"ชาติพัฒนากล้า"
"BKK_2_8","8",1400,762,"ไทยสร้างไทย"
"BKK_2_7","7",665,729,"เส้นด้าย"
"BKK_2_4","4",572,719,"เสรีรวมไทย"
"BKK_2_2","2",486,707,"ชาติไทยพัฒนา"
"BKK_2_6","6",338,769,"ไทยภักดี"
"BKK_2_9","9",270,721,"เพื่อชาติ"
"BKK_2_14","14",224,738,"เพื่อชาติไทย"
"BKK_2_15","15",125,742,"คลองไทย"
"BKK_20_6","6",34749,705,"เพื่อไทย"
"BKK_20_9","9",34745,726,"ก้าวไกล"
"BKK_20_4","4",9446,763,"รวมไทยสร้างชาติ"
"BKK_20_11","11",1501,701,"ประชาธิปัตย์"
"BKK_20_5","5",1017,709,"ภูมิใจไทย"
"BKK_20_1","1",893,743,"พลังประชารัฐ"
"BKK_20_7","7",790,706,"ชาติพัฒนากล้า"
"BKK_20_8","8",766,719,"เสรีรวมไทย"
"BKK_20_14","14",708,762,"ไทยสร้างไทย"
"BKK_20_10","10",534,769,"ไทยภักดี"
"BKK_20_3","3",265,707,"ชาติไทยพัฒนา"
"BKK_20_2","2",252,742,"คลองไทย"
"BKK_20_13","13",177,770,"แนวทางใหม่"
"BKK_20_12","12",135,738,"เพื่อชาติไทย"
"BKK_20_15","15",114,749,"ประชาไทย"
"BKK_21_7","7",44959,726,"ก้าวไกล"
"BKK_21_1","1",16496,701,"ประชาธิปัตย์"
"BKK_21_13","13",14694,705,"เพื่อไทย"
"BKK_21_5","5",13518,763,"รวมไทยสร้างชาติ"
"BKK_21_3","3",1010,709,"ภูมิใจไทย"
"BKK_21_8","8",915,719,"เสรีรวมไทย"
"BKK_21_11","11",807,706,"ชาติพัฒนากล้า"
"BKK_21_2","2",785,743,"พลังประชารัฐ"
"BKK_21_10","10",720,762,"ไทยสร้างไทย"
"BKK_21_9","9",387,770,"แนวทางใหม่"
"BKK_21_14","14",360,707,"ชาติไทยพัฒนา"
"BKK_21_12","12",358,708,"อนาคตไทย"
"BKK_21_6","6",270,742,"คลองไทย"
"BKK_21_4","4",260,769,"ไทยภักดี"
"BKK_21_15","15",0,749,"ประชาไทย"
"BKK_22_8","8",43083,726,"ก้าวไกล"
"BKK_22_12","12",16377,763,"รวมไทยสร้างชาติ"
"BKK_22_9","9",13466,705,"เพื่อไทย"
"BKK_22_2","2",7283,709,"ภูมิใจไทย"
"BKK_22_5","5",6526,701,"ประชาธิปัตย์"
"BKK_22_1","1",2113,743,"พลังประชารัฐ"
"BKK_22_10","10",1038,706,"ชาติพัฒนากล้า"
"BKK_22_11","11",1023,762,"ไทยสร้างไทย"
"BKK_22_3","3",569,719,"เสรีรวมไทย"
"BKK_22_7","7",475,729,"เส้นด้าย"
"BKK_22_13","13",252,769,"ไทยภักดี"
"BKK_22_6","6",200,727,"ทางเลือกใหม่"
"BKK_22_14","14",126,742,"คลองไทย"
"BKK_22_4","4",120,721,"เพื่อชาติ"
"BKK_23_11","11",47225,726,"ก้าวไกล"
"BKK_23_1","1",17956,763,"รวมไทยสร้างชาติ"
"BKK_23_3","3",17100,705,"เพื่อไทย"
"BKK_23_4","4",5308,762,"ไทยสร้างไทย"
"BKK_23_8","8",4547,701,"ประชาธิปัตย์"
"BKK_23_5","5",3314,743,"พลังประชารัฐ"
"BKK_23_2","2",1487,706,"ชาติพัฒนากล้า"
"BKK_23_9","9",1323,707,"ชาติไทยพัฒนา"
"BKK_23_6","6",1002,709,"ภูมิใจไทย"
"BKK_23_14","14",856,719,"เสรีรวมไทย"
"BKK_23_13","13",348,729,"เส้นด้าย"
"BKK_23_7","7",311,708,"อนาคตไทย"
"BKK_23_12","12",218,727,"ทางเลือกใหม่"
"BKK_23_16","16",205,769,"ไทยภักดี"
"BKK_23_15","15",73,774,"ราษฎร์วิถี"
"BKK_23_17","17",70,742,"คลองไทย"
"BKK_23_10","10",0,721,"เพื่อชาติ"
"BKK_24_9","9",48317,726,"ก้าวไกล"
"BKK_24_7","7",18320,763,"รวมไทยสร้างชาติ"
"BKK_24_8","8",17316,705,"เพื่อไทย"
"BKK_24_11","11",6284,701,"ประชาธิปัตย์"
"BKK_24_1","1",2033,743,"พลังประชารัฐ"
"BKK_24_12","12",1693,762,"ไทยสร้างไทย"
"BKK_24_13","13",868,719,"เสรีรวมไทย"
"BKK_24_3","3",775,709,"ภูมิใจไทย"
"BKK_24_2","2",728,706,"ชาติพัฒนากล้า"
"BKK_24_4","4",456,707,"ชาติไทยพัฒนา"
"BKK_24_14","14",357,769,"ไทยภักดี"
"BKK_24_6","6",297,738,"เพื่อชาติไทย"
"BKK_24_5","5",252,708,"อนาคตไทย"
"BKK_24_10","10",122,721,"เพื่อชาติ"
"BKK_25_9","9",35623,726,"ก้าวไกล"
"BKK_25_14","14",28189,705,"เพื่อไทย"
"BKK_25_12","12",12264,763,"รวมไทยสร้างชาติ"
"BKK_25_7","7",5517,701,"ประชาธิปัตย์"
"BKK_25_2","2",1808,743,"พลังประชารัฐ"
"BKK_25_1","1",1313,762,"ไทยสร้างไทย"
"BKK_25_8","8",1127,706,"ชาติพัฒนากล้า"
"BKK_25_11","11",670,709,"ภูมิใจไทย"
"BKK_25_15","15",502,708,"อนาคตไทย"
"BKK_25_10","10",490,719,"เสรีรวมไทย"
"BKK_25_6","6",396,707,"ชาติไทยพัฒนา"
"BKK_25_3","3",354,769,"ไทยภักดี"
"BKK_25_13","13",212,721,"เพื่อชาติ"
"BKK_25_5","5",164,729,"เส้นด้าย"
"BKK_25_4","4",153,770,"แนวทางใหม่"
"BKK_25_16","16",87,727,"ทางเลือกใหม่"
"BKK_26_11","11",46570,726,"ก้าวไกล"
"BKK_26_2","2",19813,705,"เพื่อไทย"
"BKK_26_7","7",13150,763,"รวมไทยสร้างชาติ"
"BKK_26_12","12",8892,701,"ประชาธิปัตย์"
"BKK_26_1","1",3722,762,"ไทยสร้างไทย"
"BKK_26_8","8",2282,709,"ภูมิใจไทย"
"BKK_26_10","10",534,719,"เสรีรวมไทย"
"BKK_26_4","4",488,707,"ชาติไทยพัฒนา"
"BKK_26_5","5",470,706,"ชาติพัฒนากล้า"
"BKK_26_6","6",425,769,"ไทยภักดี"
"BKK_26_3","3",362,743,"พลังประชารัฐ"
"BKK_26_9","9",0,742,"คลองไทย"
"BKK_27_1","1",50035,726,"ก้าวไกล"
"BKK_27_6","6",23351,701,"ประชาธิปัตย์"
"BKK_27_4","4",13593,705,"เพื่อไทย"
"BKK_27_2","2",6973,763,"รวมไทยสร้างชาติ"
"BKK_27_10","10",959,762,"ไทยสร้างไทย"
"BKK_27_12","12",717,743,"พลังประชารัฐ"
"BKK_27_7","7",527,706,"ชาติพัฒนากล้า"
"BKK_27_11","11",484,719,"เสรีรวมไทย"
"BKK_27_9","9",345,707,"ชาติไทยพัฒนา"
"BKK_27_13","13",252,709,"ภูมิใจไทย"
"BKK_27_8","8",174,770,"แนวทางใหม่"
"BKK_27_14","14",132,768,"เสมอภาค"
"BKK_27_3","3",109,721,"เพื่อชาติ"
"BKK_27_15","15",102,769,"ไทยภักดี"
"BKK_27_5","5",0,742,"คลองไทย"
"BKK_28_4","4",47592,726,"ก้าวไกล"
"BKK_28_10","10",26479,705,"เพื่อไทย"
"BKK_28_9","9",11405,701,"ประชาธิปัตย์"
"BKK_28_8","8",10579,763,"รวมไทยสร้างชาติ"
"BKK_28_6","6",2041,762,"ไทยสร้างไทย"
"BKK_28_5","5",681,706,"ชาติพัฒนากล้า"
"BKK_28_7","7",671,719,"เสรีรวมไทย"
"BKK_28_1","1",646,743,"พลังประชารัฐ"
"BKK_28_2","2",460,769,"ไทยภักดี"
"BKK_28_3","3",380,709,"ภูมิใจไทย"
"BKK_28_11","11",311,723,"ภราดรภาพ"
"BKK_29_8","8",47652,726,"ก้าวไกล"
"BKK_29_9","9",23541,705,"เพื่อไทย"
"BKK_29_2","2",15700,763,"รวมไทยสร้างชาติ"
"BKK_29_5","5",5772,706,"ชาติพัฒนากล้า"
"BKK_29_6","6",5045,701,"ประชาธิปัตย์"
"BKK_29_10","10",1959,762,"ไทยสร้างไทย"
"BKK_29_7","7",1948,743,"พลังประชารัฐ"
"BKK_29_4","4",992,719,"เสรีรวมไทย"
"BKK_29_3","3",558,709,"ภูมิใจไทย"
"BKK_29_1","1",278,733,"ไทยศรีวิไลย์"
"BKK_29_12","12",116,742,"คลองไทย"
"BKK_29_11","11",0,769,"ไทยภักดี"
"BKK_3_4","4",33431,726,"ก้าวไกล"
"BKK_3_8","8",15823,763,"รวมไทยสร้างชาติ"
"BKK_3_5","5",14370,705,"เพื่อไทย"
"BKK_3_7","7",10269,701,"ประชาธิปัตย์"
"BKK_3_14","14",2253,706,"ชาติพัฒนากล้า"
"BKK_3_11","11",1072,762,"ไทยสร้างไทย"
"BKK_3_6","6",713,707,"ชาติไทยพัฒนา"
"BKK_3_9","9",669,719,"เสรีรวมไทย"
"BKK_3_10","10",632,709,"ภูมิใจไทย"
"BKK_3_15","15",535,743,"พลังประชารัฐ"
"BKK_3_2","2",465,769,"ไทยภักดี"
"BKK_3_3","3",268,739,"รวมแผ่นดิน"
"BKK_3_1","1",222,729,"เส้นด้าย"
"BKK_3_13","13",139,771,"ไทยชนะ"
"BKK_3_12","12",97,721,"เพื่อชาติ"
"BKK_3_17","17",78,749,"ประชาไทย"
"BKK_3_16","16",47,742,"คลองไทย"
"BKK_30_4","4",49770,726,"ก้าวไกล"
"BKK_30_13","13",24520,705,"เพื่อไทย"
"BKK_30_7","7",15783,763,"รวมไทยสร้างชาติ"
"BKK_30_5","5",2633,701,"ประชาธิปัตย์"
"BKK_30_3","3",2356,762,"ไทยสร้างไทย"
"BKK_30_9","9",1273,706,"ชาติพัฒนากล้า"
"BKK_30_8","8",729,719,"เสรีรวมไทย"
"BKK_30_11","11",645,743,"พลังประชารัฐ"
"BKK_30_1","1",577,709,"ภูมิใจไทย"
"BKK_30_2","2",502,769,"ไทยภักดี"
"BKK_30_14","14",394,765,"ไทยสมาร์ท"
"BKK_30_6","6",282,768,"เสมอภาค"
"BKK_30_12","12",196,733,"ไทยศรีวิไลย์"
"BKK_30_10","10",128,727,"ทางเลือกใหม่"
"BKK_31_13","13",46405,726,"ก้าวไกล"
"BKK_31_5","5",23617,763,"รวมไทยสร้างชาติ"
"BKK_31_2","2",18479,705,"เพื่อไทย"
"BKK_31_7","7",4642,762,"ไทยสร้างไทย"
"BKK_31_3","3",3591,701,"ประชาธิปัตย์"
"BKK_31_1","1",2088,743,"พลังประชารัฐ"
"BKK_31_11","11",1964,719,"เสรีรวมไทย"
"BKK_31_8","8",1367,706,"ชาติพัฒนากล้า"
"BKK_31_12","12",1357,709,"ภูมิใจไทย"
"BKK_31_4","4",597,769,"ไทยภักดี"
"BKK_31_9","9",322,738,"เพื่อชาติไทย"
"BKK_31_10","10",247,747,"เป็นธรรม"
"BKK_31_6","6",245,727,"ทางเลือกใหม่"
"BKK_31_14","14",227,729,"เส้นด้าย"
"BKK_31_15","15",161,742,"คลองไทย"
"BKK_32_9","9",43115,726,"ก้าวไกล"
"BKK_32_13","13",18736,705,"เพื่อไทย"
"BKK_32_5","5",14888,763,"รวมไทยสร้างชาติ"
"BKK_32_2","2",11633,701,"ประชาธิปัตย์"
"BKK_32_7","7",1597,709,"ภูมิใจไทย"
"BKK_32_4","4",1383,706,"ชาติพัฒนากล้า"
"BKK_32_10","10",958,762,"ไทยสร้างไทย"
"BKK_32_6","6",935,743,"พลังประชารัฐ"
"BKK_32_3","3",899,719,"เสรีรวมไทย"
"BKK_32_12","12",482,707,"ชาติไทยพัฒนา"
"BKK_32_14","14",448,747,"เป็นธรรม"
"BKK_32_1","1",444,769,"ไทยภักดี"
"BKK_32_11","11",336,729,"เส้นด้าย"
"BKK_32_8","8",335,727,"ทางเลือกใหม่"
"BKK_32_15","15",114,745,"พลังสังคม"
"BKK_32_16","16",99,742,"คลองไทย"
"BKK_33_6","6",45189,726,"ก้าวไกล"
"BKK_33_5","5",18628,763,"รวมไทยสร้างชาติ"
"BKK_33_7","7",15817,701,"ประชาธิปัตย์"
"BKK_33_13","13",15053,705,"เพื่อไทย"
"BKK_33_1","1",4100,709,"ภูมิใจไทย"
